date,difficulty,market_price
2010-10-29,2149.02181494673,0.19
2010-11-02,3091.7368904118,0.2
2010-11-06,3091.7368904118,0.25
2010-11-10,4536.35372327504,0.32
2010-11-14,4536.35372327504,0.3
2010-11-18,4536.35372327504,0.28
2010-11-22,6866.89864897274,0.29
2010-11-26,6866.89864897274,0.28
2010-11-30,8078.19525792509,0.28
2010-12-04,8078.19525792509,0.26
2010-12-08,8078.19525792509,0.23
2010-12-12,12251.9997603745,0.23
2010-12-16,12251.9997603745,0.25
2010-12-20,12251.9997603745,0.26
2010-12-24,14484.1623612254,0.25
2010-12-28,14484.1623612254,0.27
2011-01-01,14484.1623612254,0.3
2011-01-05,16307.420938524,0.3
2011-01-09,16307.420938524,0.32
2011-01-13,16307.420938524,0.36
2011-01-17,18437.6443921663,0.4
2011-01-21,18437.6443921663,0.38
2011-01-25,18437.6443921663,0.44
2011-01-29,22012.3813379939,0.45
2011-02-02,22012.3813379939,0.92
2011-02-06,22012.3813379939,0.92
2011-02-10,25997.8799288144,0.97
2011-02-14,25997.8799288144,1.08
2011-02-18,36459.8869250751,1.05
2011-02-22,36459.8869250751,0.88
2011-02-26,36459.8869250751,1.0
2011-03-02,55589.5181268687,0.97
2011-03-06,55589.5181268687,0.92
2011-03-10,76192.6193475137,0.88
2011-03-14,76192.6193475137,0.91
2011-03-18,76192.6193475137,0.87
2011-03-22,76192.6193475137,0.79
2011-03-26,68977.7846302096,0.89
2011-03-30,68977.7846302096,0.8
2011-04-03,68977.7846302096,0.8
2011-04-07,82345.6441129666,0.75
2011-04-11,82345.6441129666,0.76
2011-04-15,82345.6441129666,0.98
2011-04-19,92347.5909520943,1.2
2011-04-23,92347.5909520943,1.38
2011-04-27,92347.5909520943,1.78
2011-05-01,109670.133292477,4.14
2011-05-05,109670.133292477,3.56
2011-05-09,109670.133292477,3.91
2011-05-13,157416.401843649,6.55
2011-05-17,157416.401843649,8.47
2011-05-21,244112.487774336,6.98
2011-05-25,244112.487774336,7.27
2011-05-29,434877.045527628,8.68
2011-06-02,434877.045527628,9.67
2011-06-06,567269.530162422,19.05
2011-06-10,567269.530162422,32.34
2011-06-14,567269.530162422,23.66
2011-06-18,876954.493513537,18.87
2011-06-22,876954.493513537,15.39
2011-06-26,1379192.28822808,17.58
2011-06-30,1379192.28822808,17.35
2011-07-04,1379192.28822808,15.74
2011-07-08,1563027.99611622,16.1
2011-07-12,1563027.99611622,15.07
2011-07-16,1563027.99611622,14.25
2011-07-20,1690895.80305239,14.54
2011-07-24,1690895.80305239,13.93
2011-07-28,1690895.80305239,14.1
2011-08-01,1888786.70535305,14.58
2011-08-05,1888786.70535305,11.5
2011-08-09,1888786.70535305,9.66
2011-08-13,1888786.70535305,9.93
2011-08-17,1805700.83619367,11.36
2011-08-21,1805700.83619367,11.75
2011-08-25,1805700.83619367,11.3
2011-08-29,1805700.83619367,9.48
2011-09-02,1777774.48200146,8.46
2011-09-06,1777774.48200146,8.27
2011-09-10,1777774.48200146,6.76
2011-09-14,1755425.3203287,6.19
2011-09-18,1755425.3203287,5.02
2011-09-22,1755425.3203287,6.18
2011-09-26,1755425.3203287,5.49
2011-09-30,1689334.4045971,4.94
2011-10-04,1689334.4045971,5.06
2011-10-08,1689334.4045971,4.79
2011-10-12,1689334.4045971,4.16
2011-10-16,1468195.42722083,4.01
2011-10-20,1468195.42722083,2.59
2011-10-24,1468195.42722083,3.32
2011-10-28,1468195.42722083,3.1
2011-11-01,1203461.92637997,3.38
2011-11-05,1203461.92637997,3.22
2011-11-09,1203461.92637997,3.19
2011-11-13,1203461.92637997,3.11
2011-11-17,1192497.75008948,2.6
2011-11-21,1192497.75008948,2.45
2011-11-25,1192497.75008948,2.48
2011-11-29,1192497.75008948,2.64
2011-12-03,1090715.68005127,3.14
2011-12-07,1090715.68005127,3.06
2011-12-11,1090715.68005127,3.12
2011-12-15,1155038.33396364,3.26
2011-12-19,1155038.33396364,3.36
2011-12-23,1155038.33396364,3.98
2011-12-27,1159929.49722438,4.25
2011-12-31,1159929.49722438,4.47
2012-01-04,1159929.49722438,5.37
2012-01-08,1159929.49722438,7.06
2012-01-12,1250757.73927466,7.1
2012-01-16,1250757.73927466,7.04
2012-01-20,1250757.73927466,6.37
2012-01-24,1307728.36060407,6.47
2012-01-28,1307728.36060407,5.7
2012-02-01,1307728.36060407,5.65
2012-02-05,1379647.43921429,5.99
2012-02-09,1379647.43921429,5.84
2012-02-13,1379647.43921429,5.82
2012-02-17,1379647.43921429,4.74
2012-02-21,1376302.26788638,4.5
2012-02-25,1376302.26788638,5.17
2012-02-29,1376302.26788638,4.98
2012-03-04,1496978.59502557,4.81
2012-03-08,1496978.59502557,5.05
2012-03-12,1496978.59502557,4.98
2012-03-16,1498294.36281651,5.44
2012-03-20,1498294.36281651,5.23
2012-03-24,1498294.36281651,4.81
2012-03-28,1498294.36281651,4.77
2012-04-01,1626553.48132894,4.94
2012-04-05,1626553.48132894,4.96
2012-04-09,1626553.48132894,4.8
2012-04-13,1577913.48567673,4.97
2012-04-17,1577913.48567673,4.99
2012-04-21,1577913.48567673,5.24
2012-04-25,1577913.48567673,5.19
2012-04-29,1508589.67206029,5.09
2012-05-03,1508589.67206029,5.18
2012-05-07,1508589.67206029,5.1
2012-05-11,1733207.51384839,5.1
2012-05-15,1733207.51384839,5.05
2012-05-19,1733207.51384839,5.13
2012-05-23,1733207.51384839,5.13
2012-05-27,1591074.96184731,5.15
2012-05-31,1591074.96184731,5.18
2012-06-04,1591074.96184731,5.27
2012-06-08,1591074.96184731,5.56
2012-06-12,1583177.84744401,5.58
2012-06-16,1583177.84744401,6.27
2012-06-20,1726566.55919348,6.56
2012-06-24,1726566.55919348,6.64
2012-06-28,1726566.55919348,6.58
2012-07-02,1726566.55919348,6.71
2012-07-06,1751454.53534068,6.76
2012-07-10,1751454.53534068,6.98
2012-07-14,1751454.53534068,7.85
2012-07-18,1866391.30500321,9.47
2012-07-22,1866391.30500321,9.53
2012-07-26,1866391.30500321,8.8
2012-07-30,2036671.08869332,8.95
2012-08-03,2036671.08869332,10.12
2012-08-07,2036671.08869332,11.23
2012-08-11,2036671.08869332,11.6
2012-08-15,2190865.97010286,12.3
2012-08-19,2190865.97010286,14.48
2012-08-23,2190865.97010286,10.26
2012-08-27,2440642.60691596,10.99
2012-08-31,2440642.60691596,10.91
2012-09-04,2440642.60691596,10.52
2012-09-08,2694047.95295501,11.27
2012-09-12,2694047.95295501,11.24
2012-09-16,2694047.95295501,11.84
2012-09-20,2864140.50781097,12.63
2012-09-24,2864140.50781097,12.28
2012-09-28,2864140.50781097,12.46
2012-10-02,2864140.50781097,12.58
2012-10-06,3054627.52694864,12.97
2012-10-10,3054627.52694864,12.3
2012-10-14,3054627.52694864,12.1
2012-10-18,3072321.73202076,11.98
2012-10-22,3072321.73202076,11.8
2012-10-26,3072321.73202076,11.56
2012-10-30,3304356.39299034,10.93
2012-11-03,3304356.39299034,11.06
2012-11-07,3304356.39299034,10.97
2012-11-11,3304356.39299034,10.95
2012-11-15,3368767.14053294,11.07
2012-11-19,3368767.14053294,11.82
2012-11-23,3368767.14053294,12.32
2012-11-27,3438908.96015914,12.62
2012-12-01,3438908.96015914,12.66
2012-12-05,3438908.96015914,13.09
2012-12-09,3438908.96015914,13.55
2012-12-13,3370181.79927784,13.8
2012-12-17,3370181.79927784,13.63
2012-12-21,3370181.79927784,13.7
2012-12-25,3370181.79927784,13.45
2012-12-29,2979636.61693807,13.65
2013-01-02,2979636.61693807,13.52
2013-01-06,2979636.61693807,13.54
2013-01-10,3249549.58448721,13.99
2013-01-14,3249549.58448721,14.31
2013-01-18,3249549.58448721,15.53
2013-01-22,3249549.58448721,17.13
2013-01-26,2968775.33207507,18.54
2013-01-30,2968775.33207507,19.78
2013-02-03,2968775.33207507,21.0
2013-02-07,3275464.58656562,21.53
2013-02-11,3275464.58656562,23.97
2013-02-15,3275464.58656562,27.2
2013-02-19,3651011.63069321,26.98
2013-02-23,3651011.63069321,30.52
